,index,title,href,body,date
172,172,Dumdum on Twitter,https://twitter.com/yusuf_dumdum/status/1635171579528364033,"IPO lembaga survei apaan, bru dengar. Sdh trdftar di KPU dan Persepi ga? Pasti nggaklah. 🤣 Bikin lembaga IPO sndiri buat nyenengin bani kadrun doang 😂 😂 😂 Lucunya pndukng Anies. Ktika hsil survei klah, blg survei dibayar Ktika hsil survei Anies mnang, maka ramai2 memuji 🤣 🤣",3/13/2023
173,173,"🕊 on Twitter: ""Jangan sampai lewatkan moment lebaran bersama keluarga ...",https://twitter.com/fryuputrii/status/1635126020645982211,"Jangan sampai lewatkan moment lebaran bersama keluarga tercinta. Yuuk daftarkan diri kamu untuk ikutan ""Mudikers GP"" bersama Sahabat Ganjar. Karena ini terbatas ...",3/13/2023
174,174,"NitNot on Twitter: ""JOKOWI : SAYA SENANG CAPRES PDI PERJUANGAN DARI ...",https://twitter.com/Leonita_Lestari/status/1635257265736540166,"JOKOWI : SAYA SENANG CAPRES PDI PERJUANGAN DARI KADER SENDIRI . . . Kehadiran Jokowi, Prabowo dan Ganjar di Kebumen serta merta memantik harapan. Apa yang lama mereka tunggu seolah terjawab pada pertemuan ini. Tentu saja bagi mereka yang menunggu kemana arah telunjuk Jokowi. 13 Mar 2023 12:31:28",3/13/2023
175,175,"Opsi Duet Prabowo dan Ganjar di Pilpres 2024, PDIP: Selalu ... - Twitter",https://twitter.com/tvOneNews/status/1635537390243807232,"Opsi Duet Prabowo dan Ganjar di Pilpres 2024, PDIP: Selalu Ada Kemungkinan. 14 Mar 2023 07:04:35",3/14/2023
176,176,"kumparan on Twitter: ""Ketua Bappilu PDIP Bambang Wuryanto atau akrab ...",https://twitter.com/kumparan/status/1635479145336672262,"Ketua Bappilu PDIP Bambang Wuryanto atau akrab disapa Bambang Pacul mengungkap kans duet Ganjar Pranowo-Prabowo Subianto di Pilpres 2024. Katanya, kans itu selalu ada. #newsupdate #update #news #text 14 Mar 2023 03:13:08",3/14/2023
177,177,"Liputpedia99 on Twitter: ""Kondisi Ganjar pun serupa dengan Jokowi kala ...",https://twitter.com/liputpedia/status/1635462712254947329,Kondisi Ganjar pun serupa dengan Jokowi kala Pilpres lalu. Di mana Ganjar meraih elektabilitas lebih tinggi dari Prabowo Subianto di sejumlah survei saat ini. RIP Legend Bjorka perempuan bangsa #PecatSriMulyani . 14 Mar 2023 02:07:50,3/14/2023
178,178,"Indah Begitu Indah on Twitter: ""Faktanya Ganjar Pranowo yg Capresnya ...",https://twitter.com/TracyPedas/status/1635638515697344520,Faktanya Ganjar Pranowo yg Capresnya bukan sebaliknya ya gaess. Dukung Pak Ganjar Pranowo sbgai Capres terbaik di Pilpres 2024 mendatang ️ #GANTARI 🇮🇩 14 Mar 2023 13:46:25,3/14/2023
179,179,"KITA Dukung Pakde Jokowi sampai 2024💪 on Twitter: ""Dalam video ini bisa ...",https://twitter.com/Sherin_Tiara/status/1635487835167014912,"Dalam video ini bisa jadi inspirasi untk semua khususnya para Gubernur - Pemimpin Daerah lainnya untk tidak korupsi, bekerja dan melayani dgn hati yg tulus, jujur jg amanah. Salut untk Pak @ganjar_pranowo Bapak Pemimpin Panutan ️ #GANTARI🇲🇨 #ganjarpranowo #GantariUntukGanjar . 14 Mar 2023 03:47:40",3/14/2023
180,180,"tempo.co on Twitter: ""Silang Pendapat PDIP dan Gerindra Soal Duet ...",https://twitter.com/tempodotco/status/1635450188914638849,Silang Pendapat PDIP dan Gerindra Soal Duet Prabowo - Ganjar https://nasional.tempo.co/read/1702262/silang-pendapat-pdip-dan-gerindra-soal-duet-prabowo-ganjar?utm ...,3/14/2023
181,181,"@Ndheso_Mendunia IX🇮🇩 on Twitter: ""kampung sblm pilpres dimulai ...",https://twitter.com/IxNdheso/status/1635662112159674373,"""kampung sblm pilpres dimulai. Prabowo kuasai Jabar, Ganjar kuasai Jawa Tengah, Jawa Timur kemungkinan dikuasai Ganjar juga. Anies cuma dapat suara dari PKS dan bbrp wilayah kecil yg memang basis pembenci Jokowi. anis pasti kalah telak. Sebenarnya, duet ini agak mulai kelihatan.""",3/14/2023
182,182,Kompas.com on Twitter,https://twitter.com/kompascom/status/1635502765756612610,"Bupati Semarang Ngesti Nugraha dikatakan ""drama"" oleh Gubernur Jawa Tengah Ganjar Pranowo saat menyampaikan beberapa jalan provinsi di Kabupaten Semarang rusak parah. ... Likes. Andy Tjondro @AndyTjondro · 17h. Replying to . @kompascom. Baru ""bakal"" capres lohhhh sdh gini amat ? ... Bagus nih statements nya buat jadi pemimpin Indonesia ...",3/14/2023
183,183,"TOMOKO🍥| MIRAIE🍥| SONIA🍥| on Twitter: ""RT @gwabdeeeee: Duet Capres ...",https://twitter.com/Tomoko0333/status/1635678768139493378,"RT @gwabdeeeee: Duet Capres @ganjarpranowo dan Cawapres @erickthohir semakin potensial untuk diusung mendekati Pilpres 2024. Potensi ini juga tidak lepas dari status Erick Thohir yg merupakan warga NU menebalkan elektabilitas yg dimiliki capres, terutama di kalangan Nahdliyin #BangkitBersamaET . 14 Mar 2023 16:26:22",3/14/2023
184,184,"on Twitter: ""Di akhir masa jabatannya Ganjar dihadapkan kenyataan ...",https://twitter.com/ekowboy2/status/1635569295190282240,"Tak layak naik level jadi pemimpin nasional, buzzer auto mingkem!! 1:04. ... Ganjar hanya bisa dipuja-puji, ga bisa dikritisi. ... Mar 14. Replying to . @ekowboy2. 5. 3. 19. Kadrun Tiongkok @DedyPitopang · Mar 14. Replying to . @ekowboy2. Tak tahulah masa depan Indonesia klu punya presiden kek beginian. Ambyarrrr...",3/14/2023
185,185,"on Twitter: ""RT @ekowboy2: Di akhir masa jabatannya Ganjar dihadapkan ...",https://twitter.com/ekowboy2/status/1635609704432033792,"RT @ekowboy2: Di akhir masa jabatannya Ganjar dihadapkan kenyataan banjir dimana-mana & kerusakan jalan makin parah.. Tak layak naik level jadi pemimpin nasional, buzzer auto mingkem!! 14 Mar 2023 11:51:56",3/14/2023
186,186,infoseputarindo on Twitter,https://twitter.com/indoseputarinfo/status/1635974101658640384,"Jadi banyak bahan perbincangan nih soal duet Gubernur Jawa Tengah Ganjar Pranowo dan Ketum Partai Golkar Airlangga Hartarto bisa menjadi salah satu pasangan capres-cawapres potensial di Pilpres 2024. ... duet Ganjar-Airlangga bisa terwujud jika diusung Koalisi Indonesia Bersatu (KIB) bersama PDIP. Nah, menurut kalian pasangan Ganjar-Airlangga ...",3/15/2023
187,187,"BU LURAH Idaman Warga💅 on Twitter: ""Pasangan GAET (Ganjar & Erick ...",https://twitter.com/serakyut/status/1635793397117255680,"""Pasangan GAET (Ganjar &amp; Erick) Selalu Unggul😎 Pak @erickthohir menjadi pendamping terbaik Pak Ganjar di Pilpres, hal tsb tercermin dari hasil sejumlah survei. Pak Ganjar dinilai mampu mengalahkan para pesaingnya ketika berpasangan dengan Pak Erick Thohir. #BangkitBersamaET""",3/15/2023
188,188,"Sahabat Ganjar - Official on Twitter: ""Sambil duduk di sebuah kursi ...",https://twitter.com/sahabatganjar/status/1635921150864928774,"Sambil duduk di sebuah kursi plastik, Ganjar Pranowo menanyakan satu per satu warga yang ada di hadapannya, yang juga duduk di kursi plastik. #sahabatganjar #ganjarpranowo #ganjar . 15 Mar 2023 08:29:30",3/15/2023
189,189,"KITA Dukung Pakde Jokowi sampai 2024💪 on Twitter: ""Luar biasa all ...",https://twitter.com/Sherin_Tiara/status/1635924352230379521,"Luar biasa all, Elektabilitas Pak @ganjarpranowo terus meningkat dalam satu tahun terakhir ini. Bukti dukungan dan antusiasme masyarakat akan Kepimpinan Pak Ganjar Pranowo sangatlah tinggi. Tidak heran Pak Ganjar memiliki kinerja yg moncer dan treck record yg bersih. #GANTARI 🇮🇩 . 15 Mar 2023 08:42:14",3/15/2023
