,title,url,description
48,"RUMAH KITA JATIM on Instagram: ""Presiden partai buruh Said Iqbal ...",https://www.instagram.com/p/CrV5AIzpR0k/,"156 likes, 8 comments - RUMAH KITA JATIM (@ganjarpranowo_fc) on Instagram: ""Presiden partai buruh Said Iqbal menanggapi pengusungan Ganjar Pranowo sebagai bakal calon presid..."" RUMAH KITA JATIM 🇮🇩 on Instagram: ""Presiden partai buruh Said Iqbal menanggapi pengusungan Ganjar Pranowo sebagai bakal calon presiden (bacapres) dari PDI ...",
49,"officialinews on Instagram: ""Presiden Joko Widodo (Jokowi) mengomentari ...",https://www.instagram.com/p/CrS42eJPCxd/,"3,172 likes, 793 comments - officialinews (@officialinewstv) on Instagram: ""Presiden Joko Widodo (Jokowi) mengomentari penetapan Ganjar Pranowo sebagai calon presiden 2024 d..."" officialinews on Instagram: ""Presiden Joko Widodo (Jokowi) mengomentari penetapan Ganjar Pranowo sebagai calon presiden 2024 dari PDIP.",
50,"Ganjar Pranowo RI 1 2024 on Instagram: ""Reposted from @infocianjur Dua ...",https://www.instagram.com/p/CPpQuKnHu96/,"June 2, 2021 - 112 likes, 22 comments - Ganjar Pranowo RI 1 2024 (@ganjar_pranowo2024) on Instagram: ""Reposted from @infocianjur Dua nama ini @ganjar_pranowo dan Kang @ridwankamil selalu menjadi buah ...",
51,"Weny Nistiyana on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar ...",https://www.instagram.com/p/CrSOr_KoyuX/,"11 likes, 0 comments - Weny Nistiyana (@wenynistiyana5) on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar Pranowo - Erick Thohir jadi Pilihan Utama Masyarakat Ganjar",
52,"Ganjar Idola Rakyat on Instagram: ""Trust Indonesia merilis hasil survei ...",https://www.instagram.com/p/CqKCutxLrdp/,"Ganjar Pran..."" Ganjar Idola Rakyat on Instagram: ""Trust Indonesia merilis hasil survei soal elektabilitas calon presiden (capres) 2024. Ganjar Pranowo menjadi tokoh teratas kemudian disusul Anies Baswedan dan Prabowo Subianto.",
53,"Relawan Sahabat Ganjar Indonesia on Instagram: ""Mulailah dengan ...",https://www.instagram.com/p/CYAcDFQlYGz/,"659 likes, 14 comments - Relawan Sahabat Ganjar Indonesia (@ganjar_pranowofans) on Instagram: ""Mulailah dengan pertunjukan kejujuran ___ Kembangkan sayap relawan dukung Pak Ganjar ...",
54,"GanjarKu on Instagram: ""Presiden Joko Widodo menyebut Ganjar Pranowo ...",https://www.instagram.com/p/CrS0gnkuyKp/,"11 likes, 0 comments - GanjarKu (@ganjar_ku) on Instagram: ""Presiden Joko Widodo menyebut Ganjar Pranowo sebagai sosok yang dekat dengan rakyat. Menurut Joko..."" GanjarKu on Instagram: ""Presiden Joko Widodo menyebut Ganjar Pranowo sebagai sosok yang dekat dengan rakyat.",
55,"Anggita Ciptasari on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar ...",https://www.instagram.com/p/CrSOr0cIEIj/,"39 likes, 1 comments - • Anggita Ciptasari (@anggitaciptasari3) on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar Pranowo - Erick Thohir jadi Pilihan Utama ...",
56,Page not found • Instagram,https://www.instagram.com/p/CfUB7FCrrd1/,"51 likes, 1 comments - iNews.id (@inewsdotid) on Instagram: ""Hasil survei yang dilakukan Indonesia Polling Stastions (IPS) terkait elektabilitas calon preside...""",
57,"MEDIA POLITIK INDONESIA on Instagram: ""Jakarta, tvOnenews.com - Ganjar ...",https://www.instagram.com/p/CrcZqSRJoVx/,"115 likes, 15 comments - MEDIA POLITIK INDONESIA (@politikmedia) on Instagram: ""Jakarta, tvOnenews.com - Ganjar Pranowo resmi ditunjuk sebagai capres oleh PDI Perjuangan. Peg..."" MEDIA POLITIK INDONESIA on Instagram: ""Jakarta, tvOnenews.com - Ganjar Pranowo resmi ditunjuk sebagai capres oleh PDI Perjuangan.",
58,"Radar Bali Official on Instagram: ""PDIP merasa sekarang bakal calon ...",https://www.instagram.com/p/CrsQqlTPCaE/,"May 1, 2023 - 12 likes, 0 comments - Radar Bali Official (@radar.bali) on Instagram: ""PDIP merasa sekarang bakal calon presidennya laris manis. Ketua Umum PDI Perjuangan Megawati ..."" Radar Bali Official on Instagram: ""PDIP merasa sekarang bakal calon presidennya laris manis.",
59,Pemimpin.id (@pemimpin.indonesia) • Instagram photos and videos,https://www.instagram.com/pemimpin.indonesia/,"386K Followers, 1,154 Following, 3,000 Posts - See Instagram photos and videos from Pemimpin.id (@pemimpin.indonesia)",
